position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
160115,安庆,太湖县供销合作社联合社,供销合作经济指导,本科,经济学类、金融学类、工商管理类,1,22
160116,安庆,太湖县刘畈乡,电商营销,本科,工商管理类、电子商务类、电子信息类,1,21
160117,安庆,太湖县汤泉乡,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,21
160118,安庆,太湖县乡镇机关,村镇建设管理,专科,不限,6,57
160119,安庆,太湖县乡镇机关,民政事务管理,专科,不限,7,396
160120,安庆,太湖县乡镇机关,项目建设管理,本科,不限,3,56
160121,安庆,太湖县乡镇机关,组织人事管理,本科,不限,2,35
160122,安庆,太湖县乡镇机关,乡村振兴,高中（中专）,不限,2,0
160123,安庆,中共望江县纪律检查委员会望江县监察委员会,监督检查,本科,法学类、财务管理专业、会计学专业、审计学专业,2,45
160124,安庆,中共望江县纪委监委派驻机构,执法监督,本科,法学类、会计学专业、财政学专业、金融学专业,4,57
160125,安庆,中共望江县委办公室,综合文字,本科,中国语言文学类、新闻传播学类,3,46
160126,安庆,中共望江县委组织部,机关综合,本科,不限,1,40
160127,安庆,中共望江县委宣传部,机关综合,本科,不限,2,79
160128,安庆,中共望江县委机构编制委员会办公室,机构编制管理,本科,中国语言文学类（不含特设专业）,1,11
160129,安庆,中共望江县委机构编制委员会办公室,权责清单,本科,法学类（不含特设专业）,1,24
160130,安庆,共青团望江县委员会,综合管理1,本科,不限,2,55
160131,安庆,共青团望江县委员会,综合管理2,本科,不限,1,38
160132,安庆,望江县工商业联合会,机关综合,本科,中国语言文学类,1,11
160133,安庆,望江县人民政府办公室,综合文字,本科,经济学类、法学类、中国语言文学类,3,31
160134,安庆,望江县人民政府办公室,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,10
160135,安庆,望江县教育局,机关综合,本科,不限,3,131
160136,安庆,望江县科技经济信息化局,信息化建设,本科,通信工程专业、电气工程及其自动化专业、信息工程专业,1,37
160137,安庆,望江县科技经济信息化局,经济运行监测,本科,统计学类、经济与贸易类,1,21
160138,安庆,望江县科技经济信息化局,机关综合,本科,中国语言文学类,1,3
160139,安庆,望江县司法局,社区矫正1,本科,法学类,1,19
160140,安庆,望江县司法局,社区矫正2,本科,法学类,2,29
160141,安庆,望江县民政局,财务管理,本科,工商管理专业、会计学专业、财务管理专业,1,27
160142,安庆,望江县自然资源和规划局,自然资源管理1,本科,城乡规划专业、土地资源管理专业、人文地理与城乡规划专业,2,29
160143,安庆,望江县自然资源和规划局,自然资源管理2,本科,不限,1,6
160144,安庆,望江县交通运输局,项目管理,本科,交通运输专业、交通工程专业、交通设备与控制工程专业,1,21
160145,安庆,望江县水利局,水利建设,本科,水利类,3,23
160146,安庆,望江县卫生健康委员会,卫生健康管理,本科,医学门类、计算机类,3,84
160147,安庆,望江县退役军人事务局,退役军人事务管理,本科,不限,1,9
160148,安庆,望江县应急管理局,安全监管,本科,化学类、化工与制药类,1,26
160149,安庆,望江县应急管理局,应急管理,本科,法学类、安全工程专业、应急管理专业、应急技术与管理专业,1,11
160150,安庆,望江县统计局,工业统计,本科,统计学类、法学类,1,17
160151,安庆,望江县林业局,林业管理,本科,林学类、法学类,1,13
160152,安庆,望江县医疗保障局,机关综合,本科,不限,1,23
160153,安庆,望江县城市管理局,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,14
160154,安庆,望江县乡村振兴局,乡村建设管理,本科,不限,1,34
160155,安庆,望江县乡村振兴局,机关综合,本科,不限,1,3
160156,安庆,望江县农业农村局,机关综合,本科,不限,1,3
160157,安庆,望江县农业农村局,农业项目管理,本科,经济学类、统计学类,2,26
160158,安庆,望江县农业农村局,三农服务,本科,农学门类、电子信息类,1,23
160159,安庆,望江县审计局,财务审计,本科,审计学专业、会计学专业、财务管理专业、财政学专业、金融学专业,2,19
160160,安庆,望江县审计局,电子数据审计,本科,电子信息工程专业、数据科学与大数据技术专业、工程管理专业、工程造价专业,1,28
160161,安庆,望江县市场监督管理局,市场监管1,本科,化学类、机械类、材料类,2,52
160162,安庆,望江县市场监督管理局,市场监管2,本科,经济学类、法学类,2,21
160163,安庆,望江县市场监督管理局,市场监管3,本科,不限,5,85
160164,安庆,望江县市场监督管理局,市场监管4,本科,工学门类,2,66
160165,安庆,望江县市场监督管理局,市场监管5,本科,不限,3,13
